arxiv,state,states_threshold,focus_absorbed,ap50,ap_at_half,ap_band,ap75
2607.21050v2,no_source,,,,,,
2607.20748v1,measured,0,0,0,0,0,0
2607.17938v1,measured,0,0,0,0,0,0
2607.17778v1,measured,0,4,4,0,0,0
2607.17754v1,measured,0,0,0,0,0,0
2607.12231v1,measured,0,0,0,0,0,0
2607.08201v1,measured,0,0,0,0,0,0
2607.08075v2,measured,0,0,0,0,0,0
2607.05311v1,measured,1,4,4,0,1,0
2607.03810v1,measured,0,0,0,0,0,0
2607.03764v1,no_source,,,,,,
2607.02371v1,measured,0,0,0,0,0,0
2607.01708v1,measured,0,0,0,0,0,0
2607.00124v1,measured,0,4,4,0,0,4
2606.29513v1,measured,0,4,4,0,0,0
2606.27491v1,measured,1,0,0,0,0,0
2606.26295v1,measured,0,4,4,0,0,0
2606.28398v1,measured,0,5,0,5,0,0
2606.25324v1,measured,1,28,28,0,0,29
2606.22702v1,measured,0,3,3,0,0,3
2606.22439v1,measured,0,0,0,0,0,0
2606.21594v1,measured,0,8,8,0,3,6
2606.21026v2,no_source,,,,,,
2606.20140v2,measured,0,9,9,0,0,8
2606.18894v1,measured,0,0,0,0,0,0
2606.18484v1,no_source,,,,,,
2606.16414v1,measured,0,0,0,0,0,0
2606.15427v1,measured,0,38,0,38,4,2
2606.14389v1,measured,0,0,0,0,0,0
2606.12826v1,measured,0,0,0,0,0,0
2606.12371v1,measured,0,9,9,0,0,6
2606.10769v1,measured,1,16,16,0,0,15
2606.10107v1,measured,1,0,0,0,0,0
2606.08206v2,measured,1,0,0,0,0,0
2606.08014v1,measured,1,10,10,0,0,0
2606.08002v1,measured,0,12,12,0,0,11
2606.07394v1,measured,0,8,8,0,0,7
2606.03875v1,measured,0,0,0,0,0,0
2606.03748v1,measured,1,5,5,0,1,2
2606.02724v1,measured,0,0,0,0,0,0
2606.01947v1,measured,0,0,0,0,0,0
2606.01549v1,measured,1,0,0,0,0,0
2605.31284v1,measured,1,0,0,0,0,0
2605.29505v1,measured,0,8,8,0,0,0
2605.29429v2,measured,1,0,0,0,0,0
2605.28261v1,measured,0,2,2,0,0,1
2605.26682v1,measured,0,44,44,0,0,0
2605.26370v1,measured,1,8,8,0,0,6
2605.26102v2,measured,0,0,0,0,0,0
2605.26095v2,measured,1,2,2,0,1,0
2605.24533v1,measured,0,0,0,0,0,0
2605.23656v1,measured,0,0,0,0,0,0
2605.23472v1,measured,0,0,0,0,1,0
2605.20436v2,measured,0,5,5,0,0,5
2605.19213v1,measured,0,0,0,0,0,0
2605.18413v2,measured,0,9,9,0,9,0
2605.17952v1,measured,0,0,0,0,0,0
2605.15673v1,measured,1,3,3,0,0,3
2605.13152v1,measured,0,0,0,0,0,0
2605.11300v1,measured,0,0,0,0,0,0
2605.17584v1,measured,0,24,24,0,0,0
2605.09936v1,measured,0,3,3,0,0,3
2605.08925v2,measured,0,5,3,2,0,0
2605.07415v2,measured,1,0,0,0,0,0
2605.05616v1,measured,0,0,0,0,0,0
2605.04728v1,measured,0,0,0,0,0,0
2605.04506v2,measured,0,0,0,0,0,0
2605.03784v1,measured,0,0,0,0,0,0
2605.03614v1,measured,0,0,0,0,0,0
2605.03144v1,measured,0,0,0,0,0,0
2604.24718v1,measured,0,0,0,0,0,0
2604.21313v1,measured,1,7,7,0,0,0
2604.20395v2,measured,1,20,20,0,0,0
2604.19609v1,measured,0,6,6,0,0,0
2604.22838v1,measured,0,0,0,0,0,0
2604.18957v1,measured,0,1,0,1,0,0
2604.18549v1,measured,0,0,0,0,0,0
2604.17920v1,measured,1,0,0,0,0,0
2604.17856v1,measured,1,10,10,0,0,0
2604.17231v1,measured,0,0,0,0,0,0
2604.14720v1,measured,0,0,0,0,0,0
2604.12318v1,measured,0,0,0,0,0,0
2604.10609v1,measured,1,0,0,0,0,0
2604.10385v3,measured,0,0,0,0,0,0
2604.09421v1,measured,0,0,0,0,0,0
2604.19798v1,measured,0,2,0,2,0,0
2604.08916v1,measured,0,13,13,0,0,0
2604.05347v1,measured,0,3,3,0,0,1
2604.03841v1,measured,0,5,5,0,0,0
2604.02188v1,measured,0,0,0,0,0,0
2604.02032v1,measured,0,6,0,6,0,2
2604.01907v2,measured,0,2,2,0,0,0
2604.01742v1,measured,0,0,0,0,0,0
2604.01678v1,measured,0,0,0,0,0,0
2603.28297v1,measured,1,0,0,0,0,0
2603.28027v1,measured,0,0,0,0,0,0
2603.27993v1,measured,0,0,0,0,0,0
2603.26638v1,measured,0,0,0,0,0,0
2603.26541v1,measured,0,11,11,0,0,4
2603.25993v1,measured,0,4,4,0,0,0
2603.25524v1,measured,0,0,0,0,0,0
2603.25165v2,measured,0,13,13,0,0,0
2603.21206v1,measured,0,0,0,0,0,0
2603.20074v1,measured,1,4,4,0,0,4
2603.19926v1,measured,1,10,10,0,0,0
2603.19802v2,measured,0,0,0,0,0,0
2603.19609v2,measured,0,0,0,0,0,0
2603.18739v3,measured,0,1,1,0,0,1
2603.18671v1,measured,0,0,0,0,0,0
2603.17845v1,measured,0,0,0,0,0,0
2603.16241v1,measured,1,0,0,0,0,0
2603.14309v1,measured,0,0,0,0,0,0
2603.13961v2,measured,0,4,4,0,0,5
2603.12759v1,measured,1,0,0,0,0,0
2603.12624v1,measured,1,1,1,0,0,0
2603.10825v1,measured,0,0,0,0,0,0
2603.10782v1,no_source,,,,,,
