arxiv,members,duplicated_basenames,paths
2202.00042,2,1,Wide binary alignment/main.tex | main.tex
2208.02257,4,2,Wide companions of binaries/WideAroundCloseBinary.bbl | Wide companions of binaries/WideAroundCloseBinary.tex | WideAroundCloseBinary.bbl | WideAroundCloseBinary.tex
2302.04348,36,18,"Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/age_distribution_beta_pictoris.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/bias_error_age.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/convective_shift_spectral_type.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/covariances_MAD_beta_pictoris.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/error_ellipses_uvw.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/gravitational_shift_spectral_type.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/manuscript.bbl | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/manuscript.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/masses_radii_spectral_type.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/table_kinematics.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/table_multiple_systems.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/table_observations.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/table_parameters.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/table_rv_shift.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/table_sample.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/table_size_metrics.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/trajectory_beta_pictoris.tex | Addressing Systematics in the Dynamical Traceback Age of the Beta Pictoris Moving Group (with authors, ApJ)/trajectory_time_1x3_beta_pictoris.tex | age_distribution_beta_pictoris.tex | bias_error_age.tex | convective_shift_spectral_type.tex | covariances_MAD_beta_pictoris.tex | error_ellipses_uvw.tex | gravitational_shift_spectral_type.tex | manuscript.bbl | manuscript.tex | masses_radii_spectral_type.tex | table_kinematics.tex | table_multiple_systems.tex | table_observations.tex | table_parameters.tex | table_rv_shift.tex | table_sample.tex | table_size_metrics.tex | trajectory_beta_pictoris.tex | trajectory_time_1x3_beta_pictoris.tex"
2304.11980,4,2,45717corrET.bbl | 45717corrET.tex | astro-ph/45717corrET.bbl | astro-ph/45717corrET.tex
