arxiv,state,mentioned,sites,values,targets,flag_cite_penoyre,flag_cite_paper_i_id,flag_prov,flag_prov_release,flag_hedge,flag_on_ruwe,flag_on_uwe
2206.05411,measured,1,4,1.05|1.4|1.64,fabricius|other,0,0,1,0,0,1,0
2206.05595,measured,1,9,1.09|1.4,none|other,0,0,0,0,0,1,0
2206.05704,no_source,,,,,,,,,,,
2206.05725,measured,0,0,,,0,0,0,0,0,0,0
2206.05902,measured,1,1,1.4,other,0,0,0,0,0,1,0
2206.05989,measured,1,1,1.4,other,0,0,0,0,0,1,0
2206.06121,measured,1,5,1.5,belokurov|none|other,0,0,0,0,0,1,0
2206.06339,measured,0,0,,,0,0,0,0,0,0,0
2206.08230,measured,1,1,1.4,lindegren,0,0,0,0,0,1,0
2206.08383,measured,1,1,1.3,other,0,0,0,1,0,1,0
2206.09990,measured,1,1,1.094,penoyre,1,0,0,0,0,1,0
2206.10505,measured,1,2,1.4,lindegren|other,0,0,0,1,1,1,0
2206.11047,measured,1,3,0.80|1.4|2.015,gaia_generic|none,0,0,0,1,0,1,0
2206.11092,measured,0,0,,,0,0,0,0,0,0,0
2206.11275,measured,1,0,,,0,0,0,0,0,0,0
2206.12170,measured,1,1,1.4,fabricius,0,0,0,0,0,1,0
2206.12824,measured,0,0,,,0,0,0,0,0,0,0
2206.15318,measured,1,9,1.4|1.7|2|2.49|2.9|3.2|4.62|5.5,other,0,0,0,1,0,1,0
2207.02925,measured,1,8,1.0|1.2|1.3|1.4|2|2.3|5.2,none|other,0,0,0,1,0,1,0
2207.05090,measured,0,0,,,0,0,0,0,0,0,0
2207.06258,measured,1,2,1.2,other,0,0,0,0,0,1,0
2207.06511,measured,0,0,,,0,0,0,0,0,0,0
2207.08452,measured,1,10,1.4|2.544|8.382,belokurov|gaia_generic|none|other,0,0,0,0,0,1,0
2207.08742,measured,1,0,,,0,0,0,0,0,0,0
2207.13368,measured,1,1,1.4,lindegren,0,0,0,0,0,1,0
2208.00211,measured,0,0,,,0,0,0,0,0,0,0
2208.01176,measured,0,0,,,0,0,0,0,0,0,0
2208.02257,measured,1,2,1.4,penoyre,1,0,0,0,0,1,0
2208.04979,measured,0,0,,,0,0,0,0,0,0,0
2208.05277,measured,1,3,1.4,lindegren|none|other,0,0,0,1,0,1,0
2208.05488,measured,0,0,,,0,0,0,0,0,0,0
2208.06333,measured,0,0,,,0,0,0,0,0,0,0
2208.06478,measured,0,0,,,0,0,0,0,0,0,0
2208.06715,measured,1,13,1.6,none|other,0,0,0,0,0,1,0
2208.08212,measured,0,0,,,0,0,0,0,0,0,0
2208.09403,measured,1,2,1.4,fabricius|none,0,0,0,0,1,1,0
2208.12112,measured,1,1,1.4,fabricius,0,0,0,0,1,1,0
2208.12720,measured,0,0,,,0,0,0,0,0,0,0
2208.14138,measured,0,0,,,0,0,0,0,0,0,0
2208.14551,measured,0,0,,,0,0,0,0,0,0,0
2209.02352,measured,0,0,,,0,0,0,0,0,0,0
2209.02731,measured,1,0,,,0,0,0,0,0,0,0
2209.03279,measured,0,0,,,0,0,0,0,0,0,0
2209.03906,measured,1,6,1.0|1.4,lindegren|none|other,0,0,0,0,0,1,0
2209.04210,measured,1,1,5,lindegren_tn,0,0,0,1,0,1,0
2209.05845,measured,0,0,,,0,0,0,0,0,0,0
2209.06810,measured,0,0,,,0,0,0,0,0,0,0
2209.06833,measured,1,1,1.4,other,0,0,0,0,0,1,0
2209.06873,measured,0,0,,,0,0,0,0,0,0,0
2209.07885,measured,1,1,1.4,lindegren,0,0,0,1,0,1,0
2209.08259,measured,0,0,,,0,0,0,0,0,0,0
2209.09915,measured,1,1,1.4,fabricius,0,0,0,0,0,1,0
2209.12938,measured,1,1,1.4,fabricius,0,0,0,0,0,1,0
2209.13107,measured,1,1,1.4,other,0,0,0,1,1,1,0
2209.14319,measured,0,0,,,0,0,0,0,0,0,0
2210.01137,measured,1,1,1.4,other,0,0,0,0,0,1,0
2210.01937,measured,0,0,,,0,0,0,0,0,0,0
2210.02086,measured,0,0,,,0,0,0,0,0,0,0
2210.03725,measured,1,4,1.0|1.4,fabricius|other,0,0,0,0,0,1,0
2210.08510,measured,1,1,1.4,fabricius,0,0,0,1,1,1,0
2210.10816,measured,0,0,,,0,0,0,0,0,0,0
2210.11383,measured,0,0,,,0,0,0,0,0,0,0
2210.11856,measured,0,0,,,0,0,0,0,0,0,0
2210.11930,measured,1,4,1.4,gaia_generic|lindegren|none,0,0,0,1,0,1,0
2210.14734,measured,1,3,1.4|2,other,0,0,0,0,0,1,0
2210.15473,measured,0,0,,,0,0,0,0,0,0,0
2210.16322,measured,0,0,,,0,0,0,0,0,0,0
2211.01449,measured,1,3,1.4,none,0,0,0,0,1,1,0
2211.01534,measured,1,1,1.4,lindegren,0,0,0,0,1,1,0
2211.01861,measured,0,0,,,0,0,0,0,0,0,0
2211.06194,measured,0,0,,,0,0,0,0,0,0,0
2211.06367,measured,0,0,,,0,0,0,0,0,0,0
