arxiv,state,mentioned,sites,values,targets,flag_cite_voc,flag_name_voc_dataset,flag_cite_coco,flag_cite_detector,flag_cite_iouloss,flag_software,flag_hedge,flag_as_iou,flag_as_overlap,flag_as_jaccard
2607.06592v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.05467v1,measured,1,1,0.50,voc,1,0,0,0,0,0,0,1,0,0
2607.04587v1,measured,1,1,0.5,other,0,0,0,0,0,0,0,1,0,0
2607.04330v1,measured,1,1,0.5,none,0,0,0,0,0,0,0,1,0,0
2607.04125v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.03915v2,measured,1,2,0.50,none,0,0,0,0,0,0,0,1,0,0
2607.03795v1,measured,1,3,0.5,none,0,0,0,0,0,0,1,1,0,0
2607.03696v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.03589v2,measured,1,1,75,coco,0,0,1,0,0,0,0,1,0,0
2607.03004v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.02724v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.02699v1,no_source,,,,,,,,,,,,,,
2607.02636v1,measured,1,7,0.50,coco|none,0,0,1,0,0,1,1,1,0,0
2607.02074v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.02025v1,no_source,,,,,,,,,,,,,,
2607.02005v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.01983v1,measured,1,2,0.5|0.7,none|other,0,0,0,0,0,0,0,1,0,0
2607.01827v1,measured,1,7,0.3|0.5|0.7,none|other,0,0,0,0,0,0,0,1,0,0
2607.01825v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.01759v1,measured,1,7,0.1|0.5,coco|none,0,0,1,0,0,0,1,1,0,0
2607.00816v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.00747v1,measured,1,1,71,none,0,0,0,0,0,0,0,0,1,0
2607.00746v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.00357v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.00338v1,measured,1,1,0.50,software,0,0,0,0,0,1,0,1,0,0
2607.00129v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.31834v1,measured,1,2,0.5|2,detector|none,0,0,0,1,0,0,0,1,0,0
2606.31496v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.31373v1,measured,1,1,0.5,other,0,0,0,0,0,0,1,1,0,0
2606.31157v1,measured,1,1,0.50,none,0,0,0,0,0,0,0,1,0,0
2606.31096v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.31029v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.31015v1,measured,1,2,0.50,none|other,0,0,0,0,0,0,0,1,0,0
2606.30875v1,measured,1,4,0.5,coco|none,0,0,1,0,0,0,0,1,0,0
2606.30795v1,measured,1,2,0.5|53.669,other,0,0,0,0,0,0,1,1,0,0
2606.30471v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.30179v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.30049v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.29136v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.29029v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.28792v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.27831v1,no_source,,,,,,,,,,,,,,
2606.27667v1,no_source,,,,,,,,,,,,,,
2606.26849v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.26743v2,measured,1,2,0.3,other,0,0,0,0,0,0,0,1,0,0
2606.26615v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.28405v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.25784v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.25732v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.25652v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.25318v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.25312v2,measured,1,1,0.5,none,0,0,0,0,0,0,0,1,0,0
2608.05356v1,measured,1,4,0.05|0.10|0.30,none|other,0,0,0,0,0,0,0,1,0,0
2608.05226v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2608.04423v1,measured,1,2,0.910|0.99,none,0,0,0,0,0,0,1,1,0,0
2608.03264v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2608.02980v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.27585v1,measured,1,1,0.9008,none,0,0,0,0,0,0,0,1,0,0
2607.26232v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.25570v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.24598v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.21050v2,no_source,,,,,,,,,,,,,,
2607.20748v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.17938v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
