arxiv,state,mentioned,sites,values,targets,flag_cite_bda,flag_cite_gr1992,flag_name_gr,flag_cite_vehtari,flag_cite_software,flag_prov,flag_hedge,flag_as_rhat,flag_as_psrf,flag_as_eponym
2512.00895v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2512.00220v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2511.21563v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2511.21553v1,measured,1,1,1.01,none,0,0,0,0,0,0,0,1,0,0
2511.19628v2,measured,1,4,0.05,none,0,0,0,0,0,1,0,1,0,0
2511.17117v5,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2511.08124v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2511.07736v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2511.06967v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2511.04975v4,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2510.22252v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2510.20947v1,measured,1,5,1|1.01|1.05|1.1,none|vehtari_2021,0,0,0,1,0,0,1,1,0,0
2510.19133v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2510.13233v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2510.12917v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2510.10034v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2510.07559v3,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2510.03587v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2510.03226v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2510.01016v1,measured,1,1,1.05,bda,1,0,1,0,0,0,0,1,0,0
2509.26385v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2509.24820v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2509.17980v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2509.16062v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2509.15164v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2509.11781v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2509.08102v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2509.08020v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2509.02772v2,measured,1,1,1,other,0,0,0,0,0,0,0,1,0,0
2509.00941v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2509.00753v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2509.00562v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2508.18413v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2508.16556v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2508.15069v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2508.11982v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2508.09758v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2507.18404v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2507.17065v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2608.03775v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2608.03566v1,measured,1,2,1.01,none|vehtari_2021,0,0,0,1,1,1,0,1,0,0
2608.02923v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.29093v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.28585v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.28500v1,measured,1,1,1.003,gelman_rubin_1992,0,0,0,0,1,0,0,1,0,0
2607.27678v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.26949v1,measured,1,3,1.01,none|vehtari_2021,0,0,0,1,0,0,0,1,0,0
2607.26297v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.26185v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.25382v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.25257v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.24084v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.23294v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.21847v1,measured,1,1,1,none,0,0,0,0,0,0,0,1,0,0
2607.21114v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.21044v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.19734v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.19498v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.19493v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.18009v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.17908v1,measured,1,1,1.01,software,0,0,0,0,1,0,0,1,0,0
2607.16081v1,measured,1,1,1.003,software,0,0,0,0,1,0,0,1,0,0
2607.14860v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.13185v1,measured,1,2,1.1|1.29,gelman_rubin_1992|none,0,0,1,0,0,0,0,1,0,0
2607.11558v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.07917v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.07609v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.06905v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.06805v1,measured,1,1,1.01,bda,1,0,0,0,1,0,0,1,0,0
2607.06284v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.05887v1,measured,1,1,1.05,none,0,0,0,0,0,0,0,1,0,0
2607.04976v1,no_source,,,,,,,,,,,,,,
2607.04205v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.02786v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.02000v1,no_source,,,,,,,,,,,,,,
2607.01476v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.00907v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.00722v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.31964v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.31022v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.30999v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.30992v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.29448v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.29402v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.28522v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.28251v1,no_source,,,,,,,,,,,,,,
2606.24652v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.24367v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.23358v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.23326v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.23146v1,measured,1,1,1.1,gelman_rubin_1992,0,0,1,0,0,0,0,0,1,0
2606.22601v1,measured,1,1,1.05,none,0,0,0,0,0,0,0,1,1,0
2606.20341v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.19044v1,measured,1,1,1.00,none,0,0,0,0,0,0,0,1,0,0
2606.18809v1,measured,1,1,1,other,0,0,0,0,0,0,1,1,0,0
2606.18806v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.18567v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.17790v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
