arxiv,verdict,fetch_ok,members,bytes,fetch_error,landed_all_zero,landed_mentioned,now_mentioned,diffs
2209.04210,AGREE,1,2,1789752,,0,1,1,
2209.06833,AGREE,1,1,3474210,,0,1,1,
2209.07885,AGREE,1,2,8515587,,0,1,1,
2209.09915,AGREE,1,2,5236645,,0,1,1,
2209.12938,AGREE,1,8,3158541,,0,1,1,
2209.13107,AGREE,1,2,4208097,,0,1,1,
2210.01137,AGREE,1,2,6877461,,0,1,1,
2210.03725,AGREE,1,2,2290758,,0,1,1,
2210.08510,AGREE,1,7,1554158,,0,1,1,
2210.11930,AGREE,1,2,16482499,,0,1,1,
2210.14734,AGREE,1,2,97608,,0,1,1,
2211.01449,AGREE,1,2,6913888,,0,1,1,
2211.01534,AGREE,1,5,4330670,,0,1,1,
2211.06194,AGREE,1,3,10084443,,0,0,0,
2211.07899,AGREE,1,3,2820458,,0,1,1,
2211.08463,AGREE,1,3,1122019,,0,1,1,
2211.08852,AGREE,1,2,6414377,,0,1,1,
2211.14322,AGREE,1,2,2681892,,0,1,1,
2212.02542,AGREE,1,2,8553297,,0,1,1,
2212.08249,AGREE,1,5,10545132,,0,1,1,
2212.11971,AGREE,1,4,40669674,,0,1,1,
2301.01722,AGREE,1,3,1884733,,0,1,1,
2301.03777,AGREE,1,2,1092041,,0,1,1,
2301.05018,AGREE,1,2,1588751,,0,1,1,
2301.12109,AGREE,1,2,1826764,,0,1,1,
2302.00053,AGREE,1,2,5430238,,0,1,1,
2302.02611,AGREE,1,2,2588010,,0,1,1,
2302.02802,AGREE,1,2,11340195,,0,0,0,
2302.04348,AGREE,1,36,2276847,,0,1,1,
2303.15253,AGREE,1,2,2174548,,0,1,1,
2303.17424,AGREE,1,2,1801030,,0,1,1,
2304.00226,AGREE,1,1,16097457,,0,1,1,
2304.01671,AGREE,1,2,2562222,,0,1,1,
2304.02209,AGREE,1,9,21110722,,0,1,1,
2304.07158,AGREE,1,2,14336384,,0,1,1,
2304.07322,AGREE,1,1,4310215,,0,1,1,
2304.08370,AGREE,1,2,3113473,,0,1,1,
2304.11980,AGREE,1,4,7130068,,0,1,1,
2304.12490,AGREE,1,4,36151717,,0,1,1,
2304.13951,AGREE,1,3,1303637,,0,0,0,
2305.03557,AGREE,1,1,173824,,0,1,1,
2305.04613,AGREE,1,1,24748459,,0,1,1,
2305.09215,AGREE,1,2,5827761,,0,1,1,
2305.09414,AGREE,1,1,8210691,,0,1,1,
2305.10269,AGREE,1,5,1569911,,0,1,1,
2305.16495,AGREE,1,3,12159517,,0,1,1,
2305.17755,AGREE,1,2,2469294,,0,1,1,
2305.18147,AGREE,1,1,146383,,0,1,1,
2305.19319,AGREE,1,6,9724603,,0,1,1,
2306.03140,AGREE,1,2,1165369,,0,1,1,
2306.03357,AGREE,1,2,295711,,0,1,1,
2306.08179,AGREE,1,2,2490236,,0,1,1,
2306.13130,AGREE,1,2,3056523,,0,1,1,
2306.13132,AGREE,1,3,2471613,,0,1,1,
2307.01337,AGREE,1,2,254479,,0,1,1,
2307.01688,AGREE,1,2,274926,,0,1,1,
2307.05421,AGREE,1,3,3228005,,0,1,1,
2307.13719,AGREE,1,2,2653602,,0,1,1,
2308.00104,AGREE,1,2,4261850,,0,1,1,
2308.05613,AGREE,1,2,2071903,,0,1,1,
2308.08584,AGREE,1,2,4893010,,0,1,1,
2308.12330,AGREE,1,2,2150179,,0,1,1,
2308.12489,AGREE,1,1,3345185,,0,1,1,
2308.13039,AGREE,1,4,4785033,,0,1,1,
2309.10148,AGREE,1,2,8679927,,0,1,1,
2309.10404,AGREE,1,1,25682545,,0,1,1,
2309.10862,AGREE,1,6,2299799,,0,1,1,
2309.11390,AGREE,1,2,20070630,,0,1,1,
2309.13453,AGREE,1,2,2316958,,0,1,1,
2309.15905,AGREE,1,1,3203240,,0,1,1,
2310.02256,AGREE,1,2,9447388,,0,1,1,
2310.03654,AGREE,1,2,16788625,,0,1,1,
2310.05653,AGREE,1,2,117235,,0,1,1,
2310.06295,AGREE,1,2,21423771,,0,1,1,
2310.08890,AGREE,1,3,5822066,,0,1,1,
2310.15671,AGREE,1,3,13976840,,0,1,1,
2310.20176,AGREE,1,2,21119495,,0,1,1,
2311.01827,AGREE,1,2,1929089,,0,1,1,
2311.03199,AGREE,1,3,9711924,,0,1,1,
2311.08358,AGREE,1,6,8626061,,0,1,1,
2311.08489,AGREE,1,2,7206091,,0,1,1,
2311.08801,AGREE,1,2,1550064,,0,1,1,
2312.02260,AGREE,1,2,587927,,0,0,0,
2312.02735,AGREE,1,2,1415982,,0,1,1,
2312.03162,AGREE,1,1,1220083,,0,1,1,
2312.05301,AGREE,1,1,2994316,,0,1,1,
2312.06776,AGREE,1,3,1406891,,0,1,1,
2312.10158,AGREE,1,1,9492974,,0,1,1,
2312.11124,AGREE,1,2,15014078,,0,1,1,
2312.11664,AGREE,1,2,5099482,,0,1,1,
2312.12827,AGREE,1,2,14136791,,0,1,1,
2401.03959,AGREE,1,2,691346,,0,1,1,
2401.04173,AGREE,1,2,2766221,,0,1,1,
2401.05630,AGREE,1,2,4202118,,0,1,1,
2401.08546,AGREE,1,12,1257314,,0,1,1,
2402.04919,AGREE,1,2,2986120,,0,1,1,
2402.13223,AGREE,1,6,582215,,0,1,1,
2402.14960,AGREE,1,2,2949849,,0,1,1,
2402.15101,AGREE,1,1,7349323,,0,1,1,
2402.15438,AGREE,1,9,289663,,0,1,1,
2403.03261,AGREE,1,8,6835334,,0,1,1,
2403.04592,AGREE,1,2,13689484,,0,1,1,
2403.04606,AGREE,1,2,143240,,0,1,1,
2403.12146,AGREE,1,1,3121414,,0,1,1,
2404.02976,AGREE,1,2,1880504,,0,1,1,
2404.08234,AGREE,1,2,7627912,,0,1,1,
2404.11022,AGREE,1,3,883823,,0,1,1,
2404.14127,AGREE,1,2,2922735,,0,1,1,
2404.18099,AGREE,1,2,1092222,,0,1,1,
2404.19676,AGREE,1,2,10109249,,0,1,1,
2405.00780,AGREE,1,1,4012281,,0,0,0,
2405.10379,AGREE,1,2,2105340,,0,1,1,
2405.13395,AGREE,1,2,8461019,,0,1,1,
2406.04288,AGREE,1,4,8761609,,0,1,1,
2406.07196,AGREE,1,2,3530254,,0,1,1,
2406.11593,AGREE,1,2,687690,,0,1,1,
2406.18767,AGREE,1,2,13787430,,0,1,1,
2407.01037,AGREE,1,3,2118474,,0,1,1,
2407.02594,AGREE,1,2,3307675,,0,1,1,
2407.04765,AGREE,1,2,780661,,0,1,1,
2407.10823,AGREE,1,2,52490801,,0,1,1,
2407.12583,AGREE,1,2,16177544,,0,1,1,
2407.18828,AGREE,1,2,6291893,,0,1,1,
2407.19219,AGREE,1,2,4453392,,0,1,1,
2407.20949,AGREE,1,3,2800291,,0,1,1,
2408.05423,AGREE,1,2,495518,,0,1,1,
2408.14694,AGREE,1,4,5293169,,0,1,1,
2409.04524,AGREE,1,2,32746927,,0,1,1,
2409.16992,AGREE,1,2,8161329,,0,1,1,
2409.16993,AGREE,1,2,10429710,,0,1,1,
2410.05654,AGREE,1,2,9280968,,0,1,1,
2410.05974,AGREE,1,2,2521848,,0,1,1,
2410.14372,AGREE,1,2,25701040,,0,1,1,
2410.20194,AGREE,1,6,7599461,,0,1,1,
2411.00088,AGREE,1,1,7144173,,0,1,1,
2412.08333,AGREE,1,1,537617,,0,1,1,
2412.08465,AGREE,1,10,518520,,0,1,1,
2501.02587,AGREE,1,2,132560,,0,1,1,
2501.06295,AGREE,1,2,20600579,,0,1,1,
2501.08486,AGREE,1,2,7534335,,0,1,1,
2501.13809,AGREE,1,6,1312336,,0,1,1,
2501.14025,AGREE,1,2,5050004,,0,0,0,
2501.14462,AGREE,1,2,6729973,,0,1,1,
2501.14494,AGREE,1,2,21525794,,0,1,1,
2501.14955,AGREE,1,5,6577640,,0,1,1,
2501.16554,AGREE,1,2,2046311,,0,1,1,
2501.18719,AGREE,1,2,6409497,,0,1,1,
2502.01910,AGREE,1,3,5311779,,0,1,1,
2502.08068,AGREE,1,2,1366535,,0,1,1,
2502.09373,AGREE,1,1,30937854,,0,1,1,
2503.02657,AGREE,1,4,14003012,,0,1,1,
2503.05160,AGREE,1,2,11399070,,0,1,1,
2503.08286,AGREE,1,2,4402818,,0,1,1,
2503.08583,AGREE,1,3,1412965,,0,1,1,
2504.06362,AGREE,1,7,11546856,,0,1,1,
2504.06973,AGREE,1,2,2660176,,0,1,1,
2504.07569,AGREE,1,2,1729531,,0,1,1,
2504.11528,AGREE,1,1,1080850,,0,1,1,
2504.19866,AGREE,1,2,5592044,,0,1,1,
2505.03085,AGREE,1,2,1032820,,0,1,1,
2505.03716,AGREE,1,2,5161843,,0,1,1,
2505.10123,AGREE,1,2,9594371,,0,1,1,
2505.12563,AGREE,1,2,16215937,,0,1,1,
2505.12945,AGREE,1,2,5024284,,0,1,1,
2506.02763,AGREE,1,2,15690061,,0,1,1,
2506.07499,AGREE,1,2,544358,,0,1,1,
2506.16513,AGREE,1,2,4373985,,0,1,1,
2506.17861,AGREE,1,2,3618093,,0,1,1,
2506.19933,AGREE,1,2,6161058,,0,1,1,
2506.21768,AGREE,1,2,9727377,,0,1,1,
2506.22399,AGREE,1,2,882782,,0,1,1,
2507.01855,AGREE,1,44,20468641,,0,1,1,
2507.09622,AGREE,1,2,7583076,,0,1,1,
2507.13177,AGREE,1,2,8000908,,0,1,1,
2507.13783,AGREE,1,2,6936917,,0,1,1,
2507.15936,AGREE,1,1,349622,,0,1,1,
2507.19273,AGREE,1,2,383200,,0,1,1,
2508.01127,AGREE,1,2,681602,,0,1,1,
2508.08364,AGREE,1,2,1810445,,0,1,1,
2508.08374,AGREE,1,8,1192907,,0,1,1,
2508.09845,AGREE,1,1,1042442,,0,1,1,
2508.14875,AGREE,1,2,6173181,,0,1,1,
2508.16717,AGREE,1,2,3435976,,0,1,1,
2509.03361,AGREE,1,2,1724905,,0,1,1,
2509.04555,AGREE,1,2,2759130,,0,0,0,
2509.13412,AGREE,1,2,4903958,,0,1,1,
2509.21643,AGREE,1,1,1593643,,0,0,0,
2509.26132,AGREE,1,2,3513336,,0,0,0,
2510.02509,AGREE,1,2,12935756,,0,1,1,
2510.08390,AGREE,1,2,4298913,,0,1,1,
2510.13288,AGREE,1,2,2461792,,0,1,1,
2510.14927,AGREE,1,2,12670363,,0,1,1,
2510.18343,AGREE,1,1,5864652,,0,1,1,
2510.19810,AGREE,1,3,11442709,,0,1,1,
2511.02539,AGREE,1,3,3553306,,0,1,1,
2511.04673,AGREE,1,2,14000070,,0,1,1,
2511.07554,AGREE,1,1,437386,,0,1,1,
2511.15610,AGREE,1,1,1188519,,0,1,1,
2511.20923,AGREE,1,6,5927125,,0,1,1,
2511.23368,AGREE,1,1,498798,,0,1,1,
2512.02135,AGREE,1,1,597181,,0,1,1,
2512.25002,AGREE,1,1,18880670,,0,1,1,
2601.02054,AGREE,1,2,3943032,,0,1,1,
2601.02250,AGREE,1,1,1357132,,0,1,1,
2601.03810,AGREE,1,1,412909,,0,1,1,
2601.05387,AGREE,1,1,1555351,,0,1,1,
2601.07184,AGREE,1,1,8298947,,0,1,1,
2601.09671,AGREE,1,1,463760,,0,1,1,
2601.11191,AGREE,1,1,3481387,,0,1,1,
2601.14367,AGREE,1,1,2694632,,0,1,1,
2602.02910,AGREE,1,1,15171998,,0,1,1,
2602.04661,AGREE,1,1,678257,,0,1,1,
2602.20096,AGREE,1,1,3421913,,0,1,1,
2603.00229,AGREE,1,1,1059622,,0,1,1,
2603.02327,AGREE,1,1,3206266,,0,1,1,
2603.10481,AGREE,1,2,2800725,,0,0,0,
2603.11994,AGREE,1,3,1458820,,0,1,1,
2603.25787,AGREE,1,7,6398094,,0,1,1,
2201.05124,NO_SOURCE_ZEROS,0,0,1628894,BadGzipFile: Not a gzipped file (b'%P'),1,0,,
2203.11234,NO_SOURCE_ZEROS,0,0,1550906,BadGzipFile: Not a gzipped file (b'%P'),1,0,,
2206.05704,NO_SOURCE_ZEROS,0,0,4023523,BadGzipFile: Not a gzipped file (b'%P'),1,0,,
2212.12087,NO_SOURCE_ZEROS,0,0,7026601,BadGzipFile: Not a gzipped file (b'%P'),1,0,,
2309.06860,NO_SOURCE_ZEROS,0,0,3680601,BadGzipFile: Not a gzipped file (b'%P'),1,0,,
2403.15513,NO_SOURCE_ZEROS,0,0,5177806,BadGzipFile: Not a gzipped file (b'%P'),1,0,,
2404.14324,NO_SOURCE_ZEROS,0,0,26129235,BadGzipFile: Not a gzipped file (b'%P'),1,0,,
